#codeDisplay		axl.no.ethnicity	axl.no.sami	axl.no.dialects
#nameDisplay		AXL Norway Ethnicity	AXL Norway Sami Population	AXL Norway Nynorsk/Bokmal
#isoRegionCode	NO	 		
#yearCollected	2021			
### Language Criteria ###				
#languageUse		Ethnicity	Speaks	Writes
#acquisitionOrder		L1	L1	
#domain		Home	Home	
### Population Surveyed ###				
#population	5,473,900			
#responsesPerIndividual		1		
### Data Constraints ###				
#geographicScope		Whole Country		
#nationality		residents		
#quantity		count	count	percent
#age		0+		
### Creator ###				
#collectorType	Secondary			
#presentedBy	AXL			
#author	Jacques Leclerc			
### Source Document ###				
#url	https://www.axl.cefan.ulaval.ca/europe/norvege-1_demo.htm			
#tableName	Données démolinguistiques — Groupes ethniques et langues en Norvège			
#columnName	Groupe ethnique / Population / Langue principale			
#citation	Leclerc, J. (2024). Norvège: Situation géographique et données démolinguistiques. L'aménagement linguistique dans le monde. CEFAN, Université Laval. https://www.axl.cefan.ulaval.ca/europe/norvege-1_demo.htm			
Language Code	Language Name	Population		
nor	Norwegian	4544000		
nor/nob	Bokmål			80%
nor/nno	Nynorsk			17.50%
sme	Northern Sámi	33000	15000	
sms	Skolt Sami		100	
smj	Lule Sami		500	
sje	Pite Sami		0	
sju	Um Sami		0	
sma	South Sami		300	
pol	Polish	118,000		
lit	Lithuanian	49,000		
ara	Arabic	38,000		
swe	Swedish	39,000		
som	Somali	44,000		
deu	German	29000		
ara/apc	#Syrian Arab	38,000		
urd	Urdu	35,000		
ara/acm	#Mesopotamian Arab	35,000		
tig	Tigré	31,000		
fil	Philippine	27,000		
vie	Vietnamese	24,000		
fas/pes	Farsi (Iranian)	24,000		
rus	Russian	23,000		
dan	Danish	21,000		
tur	Turkish	21,000		
tha	Thai	21,000		
hbs/bos	Bosnian	19,000		
eng	English	18,000		
tts	Northeast Thai	18,000		
ron	Romanian	18,000		
hbs/srp	Serbian	15,000		
zho/cmn	Mandarin	13,000		
lav	Latvian	11,000		
nsl	Norwegian Sign Language	11,000		
sqi/aln	Albanian (Gheg)	10,000		
spa	Spanish	10,000		
spa/chil1286	#Spanish (Chilean)	8,200		
ara/ary	Moroccan Arabic	8,100		
eng	#English (American) 	7,900		
pus/pbt	South Pashtun	7,500		
fin	Finnish	7,400		
swe	#Swedish (Rom tottare)	7,300		
bul	Bulgarian	7,300		
nld	Dutch	5,600		
yor	Yoruba	5,400		
kur	Kurdish	5,400		
est	Estonian	4,700		
ita	Italian	4,600		
isl	Icelandic	4,100		
slk	Slovak	3,800		
amh	Amharic	3,700		
hbs/hrv	Croatian	3,500		
mkd	Macedonian	3,300		
fra	French	3,000		
