#codeDisplay		axl.bd	#eth	#fr-lang
#nameDisplay		AXL Bangladesh		
#isoRegionCode	BD			
#yearCollected	2025			
#languageUse	Speaks			
#acquisitionOrder	L1			
#population		175,665,000		
#quantity	count			
#responsesPerIndividual	1			
#collectorType	Secondary			
#presentedBy	AXL			
#url	https://www.axl.cefan.ulaval.ca/asie/Bangladesh.htm			
#sectionName	2 Données démolinguistiques			
#dateAccessed	2026-09-03			
Language Code	Language	Population	Groupe ethnique	
ben	Bengali	141 656 000	Bengalis musulmans	
ben	Bengali	13 530 000	Bengalis hindous et chrétiens	
syl	Siloti	13 126 000	Silotis musulmans	siloti
syl	Siloti	310 000	Silotis hindouistes	siloti
syl	Siloti	181 000	Malis	siloti
rhg	Rohingya	2 049 000	Rohingya	rohingya
urd	Urdu	969 000	Bihari	ourdou
ccp	Chakma	542 000	Chakma	chakma
rmz	Marma	248 000	Marma	marma
kru	Kurux	224 000	Kurux	kurux
csh	Asho Chin	200 000	Asho chin	asho chin
ctg	Chittagonian	160 000	Kuki chin	chittagonien
trp	Kok borok	151 000	Tipera	kok borok
grt	Garo	99 000	Garo	garo
mya	Burmese	83 000	Birman	birman
mro	Mru	74 000	Mru	mru
tnv	Tangchangya	68 000	Tangchangya	tangchangya
unr	Mundari	56 000	Munda	mundari
mjx	Mahli	44 000	Mahli	mahli
kdq	Koch	36 000	Koch	koch
mni	Meitei	31 000	Meitei	meitei
ctg	Chittagonian	30 000	Dom	chittagonien
zxx	Hard of hearing	815 000	Malentendant	bengal occidental
mul	Others (unspecified)	1 183 000	Autres	-
