#codeDisplay		axl.km2015	axl.km2004	axl.km1991
#nameDisplay	Comoros			
#isoRegionCode	KM			
#yearCollected		2015	2004	1991
#languageUse	Speaks			
#proficiency	Fluent			
#acquisitionOrder	L1			
#population	785,900		646400	446,800
#responsesPerIndividual	1+			
#collectorType	Secondary			
#presentedBy	AXL			
#quantity		count		
#url	https://www.axl.cefan.ulaval.ca/afrique/comores.htm			
Language Code	Language	% Estimates		
zdj	Ngazidja Comorian	384 000	363 200	233 500
wni	Ndzwani Comorian	337 000	252 000	189 000
wlc	Mwali Comorian	40 000	31 200	24 300
vmw	Makua	13 000		
mlg	Malagasy	1 900		
fra	French	1 600		
swa/swh	Tanzanian Swahili	1 000		
msa/zlm	Malay	900		
ara	Arabic	800		
rcf	Reunion Creole	700		
