### Metadata ###			
#topic		iOS System Language Availability	
#url		https://www.apple.com/ios/feature-availability/#system-language-system-language	
#dateAccessed		6/30/26	
#author		Apple	
#notes		Accessed from language settings on iphone	
			
Language Code	Language	Locale	Writing System
ara	Arabic		
ben	Bangla		
bul	Bulgarian		
cat	Catalan		
zho/cmn	Chinese, Simplified		
zho/cmn	Chinese, Traditional	Taiwan	
zho/cmn	Chinese, Traditional	Hong Kong	
hbs/hrv	Croatian		
ces	Czech		
dan	Danish		
nld	Dutch		
eng	English	United Kingdom	
eng	English	United States	
eng	English	Australia	
eng	English	India	
fin	Finnish		
fra	French	France	
fra	French	Canada	
deu	German		
ell	Greek		
guj	Gujarati		
heb	Hebrew		
hin	Hindi		
hun	Hungarian		
msa/ind	Indonesian		
ita	Italian		
jpn	Japanese		
kan	Kannada		
kaz	Kazakh		
kor	Korean		
lit	Lithuanian		
msa/zlm	Malay		
mal	Malayalam		
mar	Marathi		
nor/nob	Norwegian 		
ori	Odia		
pol	Polish		
por	Portuguese	Brazil	
por	Portuguese	Portugal	
lah/pan	Punjabi		
ron	Romanian		
rus	Russian		
slk	Slovak		
slv	Slovenian		
spa	Spanish	Spain	
spa	Spanish	US	
spa	Spanish	Latin America	
swe	Swedish		
tam	Tamil		
tel	Telugu		
tha	Thai		
tur	Turkish		
ukr	Ukrainian		
urd	Urdu		
vie	Vietnamese		
